Visitor ID,Visitor: Last Visit,Number of Days Active,Number of Events,Visitor: Most recent browser name
anonymous-1760021177082,2025-10-09 10:46:17,1,3,Chrome
anonymous-1760016220712,2025-10-09 09:23:40,1,3,Chrome
anonymous-1759981172711,2025-10-08 23:39:32,1,3,Chrome
anonymous-1759978785995,2025-10-08 23:00:09,1,13,Chrome
anonymous-1759978593889,2025-10-08 22:56:33,1,2,Chrome
anonymous-1759978337052,2025-10-08 22:52:17,1,2,Chrome
anonymous-1759978010881,2025-10-08 22:49:21,1,13,Chrome
anonymous-1759977782345,2025-10-08 22:43:02,1,2,Chrome
anonymous-1759977692745,2025-10-08 22:41:32,1,2,Chrome
anonymous-1759977512813,2025-10-08 22:38:32,1,2,Chrome
anonymous-1759977270559,2025-10-08 22:34:30,1,2,Chrome
anonymous-1759977031526,2025-10-08 22:31:22,1,13,Chrome
anonymous-1759977033460,2025-10-08 22:30:33,1,4,Chrome
anonymous-1759976860581,2025-10-08 22:27:40,1,2,Chrome
anonymous-1759976847556,2025-10-08 22:27:28,1,3,Chrome
anonymous-1759976840310,2025-10-08 22:27:20,1,2,Chrome
anonymous-1759976822545,2025-10-08 22:27:03,1,3,Chrome
anonymous-1759976012407,2025-10-08 22:26:28,1,13,Chrome
anonymous-1759975336354,2025-10-08 22:02:16,1,3,Chrome
anonymous-1759975071951,2025-10-08 21:57:52,1,4,Chrome
anonymous-1759974741047,2025-10-08 21:52:21,1,3,Chrome
anonymous-1759974388753,2025-10-08 21:46:28,1,2,Chrome
anonymous-1759973816152,2025-10-08 21:36:56,1,3,Chrome
anonymous-1759973812807,2025-10-08 21:36:52,1,4,Chrome
anonymous-1759973811559,2025-10-08 21:36:51,1,3,Chrome
anonymous-1759971762469,2025-10-08 21:02:42,1,2,Chrome
anonymous-1759971640232,2025-10-08 21:01:50,1,14,Chrome
anonymous-1759971639855,2025-10-08 21:00:39,1,2,Chrome
anonymous-1759971089658,2025-10-08 20:52:44,1,12,Chrome
anonymous-1759969663165,2025-10-08 20:27:43,1,3,Chrome
anonymous-1759969660297,2025-10-08 20:27:40,1,2,Chrome
anonymous-1759969448816,2025-10-08 20:24:08,1,2,Chrome
anonymous-1759967845691,2025-10-08 19:57:25,1,3,Chrome
anonymous-1759939244691,2025-10-08 12:00:44,1,2,Safari
anonymous-1759938215542,2025-10-08 11:43:36,1,2,Chrome
anonymous-1759909594375,2025-10-08 03:46:35,1,3,Chrome
anonymous-1759909453785,2025-10-08 03:44:14,1,3,Chrome
anonymous-1759879418308,2025-10-07 19:23:38,1,2,Safari
anonymous-1759875407028,2025-10-07 18:16:47,1,2,Chrome
anonymous-1759875398042,2025-10-07 18:16:38,1,2,Chrome
anonymous-1759870254542,2025-10-07 16:50:55,1,3,Chrome
anonymous-1759866117634,2025-10-07 15:41:58,1,3,Chrome
anonymous-1759852052369,2025-10-07 11:47:33,1,3,Safari
anonymous-1759848574058,2025-10-07 10:49:34,1,2,Safari
